time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/28 at 22:53:10,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.666             ,0.655          ,0.66      ,0.368         ,0.362      ,0.365 ,0.716        ,0.705        ,0.073   ,0.075   
03/28 at 22:53:45,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.648             ,0.642          ,0.645     ,0.326         ,0.322      ,0.324 ,0.735        ,0.719        ,0.072   ,0.071   
03/28 at 22:58:20,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.51              ,0.844          ,0.636     ,0.224         ,0.371      ,0.28  ,0.557        ,0.576        ,0.08    ,0.078   
03/28 at 22:58:55,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,0.451             ,0.879          ,0.596     ,0.169         ,0.329      ,0.223 ,0.557        ,0.546        ,0.081   ,0.082   
03/28 at 23:03:29,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.469             ,0.795          ,0.59      ,0.19          ,0.322      ,0.239 ,0.566        ,0.568        ,0.081   ,0.08    
03/28 at 23:04:04,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,0.462             ,0.837          ,0.596     ,0.171         ,0.309      ,0.22  ,0.607        ,0.693        ,0.083   ,0.076   
03/28 at 23:08:38,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.556             ,0.821          ,0.663     ,0.294         ,0.433      ,0.35  ,0.553        ,0.574        ,0.08    ,0.08    
03/28 at 23:09:13,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,0.465             ,0.821          ,0.594     ,0.185         ,0.326      ,0.236 ,0.589        ,0.547        ,0.078   ,0.082   
03/28 at 23:13:47,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.664             ,0.593          ,0.627     ,0.354         ,0.316      ,0.334 ,0.717        ,0.756        ,0.073   ,0.072   
03/28 at 23:14:22,danish     ,False      ,0.0 ,80.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.662             ,0.56           ,0.607     ,0.304         ,0.257      ,0.279 ,0.788        ,0.761        ,0.067   ,0.069   
