language   ,word,subj,condition,error ,type  
english,27  ,1   ,B  ,7.064 ,target
english,28  ,1   ,B  ,20.863,foil  
english,29  ,1   ,B  ,5.44  ,target
english,30  ,1   ,B  ,10.664,target
english,31  ,1   ,B  ,27.242,foil  
english,32  ,1   ,B  ,6.671 ,target
english,33  ,1   ,B  ,33.498,foil  
english,34  ,1   ,B  ,16.116,foil  
english,35  ,1   ,B  ,5.416 ,target
english,36  ,1   ,B  ,5.291 ,target
english,37  ,1   ,B  ,11.073,foil  
english,38  ,1   ,B  ,23.407,foil  
english,39  ,1   ,B  ,5.086 ,target
english,40  ,1   ,B  ,13.873,foil  
english,41  ,1   ,B  ,12.984,target
english,42  ,1   ,B  ,22.589,foil  
english,43  ,1   ,B  ,6.182 ,target
english,44  ,1   ,B  ,2.96  ,target
english,45  ,1   ,B  ,29.108,foil  
english,46  ,1   ,B  ,6.144 ,target
english,47  ,1   ,B  ,17.292,foil  
english,48  ,1   ,B  ,6.225 ,target
english,49  ,1   ,B  ,9.264 ,foil  
english,50  ,1   ,B  ,12.154,target
english,51  ,1   ,B  ,24.324,foil  
english,52  ,1   ,B  ,10.543,foil  
english,53  ,1   ,B  ,4.796 ,target
english,54  ,1   ,B  ,21.531,foil  
english,55  ,1   ,B  ,11.56 ,target
english,56  ,1   ,B  ,4.427 ,target
english,57  ,1   ,B  ,24.517,foil  
english,58  ,1   ,B  ,16.121,foil  
english,59  ,1   ,B  ,9.531 ,target
english,60  ,1   ,B  ,8.819 ,target
english,61  ,1   ,B  ,6.358 ,foil  
english,62  ,1   ,B  ,5.787 ,target
english,63  ,1   ,B  ,20.677,foil  
english,64  ,1   ,B  ,4.944 ,target
english,65  ,1   ,B  ,9.157 ,foil  
english,66  ,1   ,B  ,22.386,foil  
english,67  ,1   ,B  ,11.666,target
english,68  ,1   ,B  ,21.607,foil  
english,69  ,1   ,B  ,8.128 ,target
english,70  ,1   ,B  ,13.122,target
english,71  ,1   ,B  ,15.376,foil  
english,0   ,2   ,A  ,43.653,foil  
english,1   ,2   ,A  ,20.696,target
english,2   ,2   ,A  ,12.963,target
english,3   ,2   ,A  ,40.981,foil  
english,4   ,2   ,A  ,34.652,target
english,5   ,2   ,A  ,25.126,foil  
english,6   ,2   ,A  ,14.63 ,target
english,7   ,2   ,A  ,50.122,foil  
english,8   ,2   ,A  ,33.288,foil  
english,9   ,2   ,A  ,24.749,target
english,10  ,2   ,A  ,26.597,foil  
english,11  ,2   ,A  ,13.304,target
english,12  ,2   ,A  ,27.406,foil  
english,13  ,2   ,A  ,5.625 ,target
english,14  ,2   ,A  ,14.547,foil  
english,15  ,2   ,A  ,5.904 ,target
english,16  ,2   ,A  ,12.962,target
english,17  ,2   ,A  ,15.863,foil  
english,18  ,2   ,A  ,5.282 ,target
english,19  ,2   ,A  ,38.282,foil  
english,20  ,2   ,A  ,24.844,foil  
english,21  ,2   ,A  ,20.22 ,target
english,22  ,2   ,A  ,11.659,target
english,23  ,2   ,A  ,19.583,foil  
english,24  ,2   ,A  ,17.891,foil  
english,25  ,2   ,A  ,5.509 ,target
english,26  ,2   ,A  ,14.9  ,foil  
english,27  ,2   ,A  ,9.332 ,target
english,28  ,2   ,A  ,17.767,foil  
english,29  ,2   ,A  ,5.23  ,target
english,30  ,2   ,A  ,7.759 ,target
english,31  ,2   ,A  ,33.774,foil  
english,32  ,2   ,A  ,9.102 ,target
english,33  ,2   ,A  ,22.161,foil  
english,34  ,2   ,A  ,14.989,foil  
english,35  ,2   ,A  ,6.576 ,target
english,36  ,2   ,A  ,13.387,target
english,37  ,2   ,A  ,12.297,foil  
english,38  ,2   ,A  ,12.837,foil  
english,39  ,2   ,A  ,5.978 ,target
english,40  ,2   ,A  ,14.388,foil  
english,41  ,2   ,A  ,8.363 ,target
english,42  ,2   ,A  ,27.948,foil  
english,43  ,2   ,A  ,10.602,target
english,44  ,2   ,A  ,4.494 ,target
english,45  ,2   ,A  ,21.939,foil  
english,46  ,2   ,A  ,7.772 ,target
