time,lang,distributed,seed,word_F,contoid_accuracy,vocoid_accuracy,contoid_reaction,vocoid_reaction
05/25 at 15:53:57,danish,False,8,0.39530988274706863,0.8611111111111112,0.7222222222222222,2.0187647369100854,2.152566347647081
05/25 at 16:03:37,danish,False,9,0.3300653594771242,0.7222222222222222,0.8333333333333334,1.318335511625107,1.242362618320397
05/25 at 19:42:05,english,True,0,0.32037325038880243,0.41666666666666663,0.4722222222222222,8.997448061299936,16.515082453800726
05/25 at 21:19:08,english,True,10,0.32963549920760693,0.5555555555555556,0.5833333333333333,52.32319384338602,9.112939839736018
05/25 at 21:28:52,english,True,11,0.35634028892455855,0.41666666666666663,0.5277777777777778,8.032988824661798,17.49194453052264
05/25 at 21:38:34,english,True,12,0.25614035087719295,0.5,0.6944444444444444,50.224393154945304,9.157247328419436
05/25 at 21:48:15,english,True,13,0.3137254901960784,0.6388888888888888,0.5555555555555556,41.82170440665865,12.511794536235843
05/25 at 21:57:59,english,True,14,0.3614457831325302,0.5,0.41666666666666663,53.67064202501888,9.218587532384111
05/25 at 22:07:39,english,True,15,0.27946127946127947,0.5,0.4444444444444444,48.90172665957317,13.278397799049904
05/25 at 22:17:27,english,True,16,0.35889070146818924,0.41666666666666663,0.6388888888888888,21.980206778536225,8.888561734704625
05/25 at 22:27:13,english,True,17,0.3203883495145631,0.5,0.6111111111111112,3.631795281676304,11.39756315878566
05/25 at 22:36:56,english,True,18,0.3588039867109634,0.5277777777777778,0.5277777777777778,13.51069336993866,7.796367578834137
05/25 at 22:46:37,english,True,19,0.3259762308998303,0.5277777777777778,0.33333333333333337,64.25502942317321,3.9287897941407004
05/25 at 19:51:46,english,True,1,0.3474178403755869,0.5,0.38888888888888884,19.254255578758826,6.392080139933627
05/25 at 22:56:20,english,True,20,0.30744336569579284,0.5,0.4722222222222222,46.73069279404889,11.858551906960333
05/25 at 23:06:02,english,True,21,0.2880523731587561,0.4722222222222222,0.5833333333333333,22.241296324950873,19.582396006119865
05/25 at 23:15:44,english,True,22,0.30944625407166126,0.38888888888888884,0.5555555555555556,51.01169058686454,11.375333849410456
05/25 at 23:25:26,english,True,23,0.3857374392220422,0.5,0.5555555555555556,12.821303772765733,8.321680453248756
05/25 at 23:35:08,english,True,24,0.31778929188255617,0.41666666666666663,0.4722222222222222,43.73854739234436,9.75128730939644
05/25 at 23:44:52,english,True,25,0.34554973821989526,0.4444444444444444,0.41666666666666663,16.47717195386926,9.253211362432689
